time,u,v,w,p,q,r,phi,theta,psi,x,y,z,fx,fy,fz,mx,my,mz
1.03,10,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0
1.04,10,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,0,0
1.05,10,0,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0
1.06,10,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0
1.07,10,0,0,0,0,0,0,0,0,10.8,0,0,0,0,0,0,0,0
1.08,10,0,0,0,0,0,0,0,0,10.9,0,0,0,0,0,0,0,0
1.09,10,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
1.1,10,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0,0,0
1.11,10,0,0,0,0,0,0,0,0,11.2,0,0,0,0,0,0,0,0
1.12,10,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0
1.13,10,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0
1.14,10,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0
1.15,10,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0
1.16,10,0,0,0,0,0,0,0,0,11.7,0,0,0,0,0,0,0,0
1.17,10,0,0,0,0,0,0,0,0,11.8,0,0,0,0,0,0,0,0
1.18,10,0,0,0,0,0,0,0,0,11.9,0,0,0,0,0,0,0,0
1.19,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
1.2,10,0,0,0,0,0,0,0,0,12.1,0,0,0,0,0,0,0,0
1.21,10,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0
1.22,10,0,0,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0
1.23,10,0,0,0,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0
1.24,10,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0
1.25,10,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0
1.26,10,0,0,0,0,0,0,0,0,12.7,0,0,0,0,0,0,0,0
1.27,10,0,0,0,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0
1.28,10,0,0,0,0,0,0,0,0,12.9,0,0,0,0,0,0,0,0
1.29,10,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
1.3,10,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0
1.31,10,0,0,0,0,0,0,0,0,13.2,0,0,0,0,0,0,0,0
1.32,10,0,0,0,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0
1.33,10,0,0,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0
1.34,10,0,0,0,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0
1.35,10,0,0,0,0,0,0,0,0,13.6,0,0,0,0,0,0,0,0
1.36,10,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0,0,0
1.37,10,0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0
1.38,10,0,0,0,0,0,0,0,0,13.9,0,0,0,0,0,0,0,0
1.39,10,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
1.4,10,0,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0
1.41,10,0,0,0,0,0,0,0,0,14.2,0,0,0,0,0,0,0,0
1.42,10,0,0,0,0,0,0,0,0,14.3,0,0,0,0,0,0,0,0
1.43,10,0,0,0,0,0,0,0,0,14.4,0,0,0,0,0,0,0,0
1.44,10,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0
1.45,10,0,0,0,0,0,0,0,0,14.6,0,0,0,0,0,0,0,0
1.46,10,0,0,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0
1.47,10,0,0,0,0,0,0,0,0,14.8,0,0,0,0,0,0,0,0
1.48,10,0,0,0,0,0,0,0,0,14.9,0,0,0,0,0,0,0,0
1.49,10,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
1.5,10,0,0,0,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0
1.51,10,0,0,0,0,0,0,0,0,15.2,0,0,0,0,0,0,0,0
1.52,10,0,0,0,0,0,0,0,0,15.3,0,0,0,0,0,0,0,0
1.53,10,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0
1.54,10,0,0,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0
1.55,10,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0,0,0,0
1.56,10,0,0,0,0,0,0,0,0,15.7,0,0,0,0,0,0,0,0
1.57,10,0,0,0,0,0,0,0,0,15.8,0,0,0,0,0,0,0,0
1.58,10,0,0,0,0,0,0,0,0,15.9,0,0,0,0,0,0,0,0
1.59,10,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
1.6,10,0,0,0,0,0,0,0,0,16.1,0,0,0,0,0,0,0,0
1.61,10,0,0,0,0,0,0,0,0,16.2,0,0,0,0,0,0,0,0
1.62,10,0,0,0,0,0,0,0,0,16.3,0,0,0,0,0,0,0,0
1.63,10,0,0,0,0,0,0,0,0,16.4,0,0,0,0,0,0,0,0
1.64,10,0,0,0,0,0,0,0,0,16.5,0,0,0,0,0,0,0,0
1.65,10,0,0,0,0,0,0,0,0,16.6,0,0,0,0,0,0,0,0
1.66,10,0,0,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0
1.67,10,0,0,0,0,0,0,0,0,16.8,0,0,0,0,0,0,0,0
1.68,10,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,0,0
1.69,10,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
1.7,10,0,0,0,0,0,0,0,0,17.1,0,0,0,0,0,0,0,0
1.71,10,0,0,0,0,0,0,0,0,17.2,0,0,0,0,0,0,0,0
1.72,10,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,0
1.73,10,0,0,0,0,0,0,0,0,17.4,0,0,0,0,0,0,0,0
1.74,10,0,0,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0
1.75,10,0,0,0,0,0,0,0,0,17.6,0,0,0,0,0,0,0,0
1.76,10,0,0,0,0,0,0,0,0,17.7,0,0,0,0,0,0,0,0
1.77,10,0,0,0,0,0,0,0,0,17.8,0,0,0,0,0,0,0,0
1.78,10,0,0,0,0,0,0,0,0,17.9,0,0,0,0,0,0,0,0
1.79,10,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
1.8,10,0,0,0,0,0,0,0,0,18.1,0,0,0,0,0,0,0,0
1.81,10,0,0,0,0,0,0,0,0,18.2,0,0,0,0,0,0,0,0
